year,mon,day,hour,min,sec,lat_deg,lat_min,lon_deg,lon_min,quality,magnitude,depth_km,nph,rms,eventid,lat_dd,lon_dd,iso_utc
2025,01,01,14,50,25.69,33,27.29,-116,37.5,A,1.2,9.06,101,0.18,40831447,33.45483333333333,-116.625,2025-01-01T14:50:25.69Z
2025,01,01,14,54,36.56,33,38.38,-116,43.04,A,0.0,13.78,12,0.07,37693908,33.63966666666666,-116.71733333333333,2025-01-01T14:54:36.56Z
2025,01,01,14,54,59.3,33,38.3,-116,42.89,A,0.4,13.33,41,0.14,40831455,33.638333333333335,-116.71483333333333,2025-01-01T14:54:59.30Z
2025,01,01,14,55,12.62,33,38.27,-116,42.92,A,0.6,13.84,37,0.13,40831463,33.63783333333333,-116.71533333333333,2025-01-01T14:55:12.62Z
2025,01,01,15,19,34.05,32,46.69,-115,26.41,A,2.6,12.79,82,0.31,40831471,32.778166666666664,-115.44016666666667,2025-01-01T15:19:34.05Z
2025,01,01,15,21,2.59,32,45.63,-115,25.7,A,1.7,11.86,44,0.31,40831479,32.7605,-115.42833333333333,2025-01-01T15:21:02.59Z
2025,01,01,15,22,33.85,32,45.85,-115,26.03,A,1.5,5.81,40,0.26,40831487,32.76416666666667,-115.43383333333334,2025-01-01T15:22:33.85Z
2025,01,01,15,27,31.79,32,46.44,-115,26.43,A,2.4,11.21,58,0.28,40831495,32.774,-115.4405,2025-01-01T15:27:31.79Z
2025,01,01,15,27,34.01,32,44.29,-115,19.78,A,2.4,14.15,36,0.29,37697436,32.738166666666665,-115.32966666666667,2025-01-01T15:27:34.01Z
2025,01,01,15,29,36.78,32,44.58,-115,19.47,B,1.5,14.5,17,0.25,40831503,32.743,-115.3245,2025-01-01T15:29:36.78Z
2025,01,01,15,29,47.5,32,45.68,-115,25.4,A,1.7,5.97,45,0.25,40831511,32.76133333333333,-115.42333333333333,2025-01-01T15:29:47.50Z
2025,01,01,15,30,25.02,32,45.78,-115,26.21,A,1.2,7.28,20,0.16,37541189,32.763,-115.43683333333334,2025-01-01T15:30:25.02Z
2025,01,01,15,33,20.15,32,46.22,-115,26.37,A,1.5,7.9,41,0.29,40831519,32.77033333333333,-115.4395,2025-01-01T15:33:20.15Z
2025,01,01,15,34,0.94,32,46.43,-115,25.66,A,1.5,7.28,20,0.25,40831527,32.773833333333336,-115.42766666666667,2025-01-01T15:34:00.94Z
2025,01,01,15,34,5.79,32,46.84,-115,26.35,A,2.8,15.0,98,0.29,40831535,32.78066666666667,-115.43916666666667,2025-01-01T15:34:05.79Z
2025,01,01,15,39,24.65,32,45.79,-115,25.52,A,1.2,8.2,30,0.29,40831551,32.76316666666666,-115.42533333333333,2025-01-01T15:39:24.65Z
2025,01,01,15,39,43.77,32,45.14,-115,25.62,A,1.6,11.46,37,0.27,40831559,32.75233333333333,-115.427,2025-01-01T15:39:43.77Z
2025,01,01,15,40,13.14,32,46.26,-115,26.01,A,2.0,12.01,67,0.32,40831567,32.771,-115.4335,2025-01-01T15:40:13.14Z
2025,01,01,15,41,21.2,32,45.92,-115,25.31,A,1.7,12.93,43,0.29,40831575,32.76533333333333,-115.42183333333334,2025-01-01T15:41:21.20Z
2025,01,01,15,41,28.87,32,45.99,-115,24.6,A,1.6,7.5,21,0.24,37697444,32.7665,-115.41,2025-01-01T15:41:28.87Z
2025,01,01,15,44,5.42,32,46.04,-115,26.09,A,2.2,11.99,71,0.3,40831583,32.76733333333333,-115.43483333333333,2025-01-01T15:44:05.42Z
2025,01,01,15,44,32.6,32,46.06,-115,26.29,A,1.7,5.72,38,0.26,40831591,32.76766666666666,-115.43816666666666,2025-01-01T15:44:32.60Z
2025,01,01,15,51,13.83,35,42.29,-117,30.81,A,0.6,6.58,27,0.16,40831599,35.70483333333333,-117.5135,2025-01-01T15:51:13.83Z
2025,01,01,15,53,18.28,32,45.88,-115,25.39,A,1.7,11.71,49,0.31,40831607,32.76466666666666,-115.42316666666666,2025-01-01T15:53:18.28Z
2025,01,01,15,53,48.79,32,45.61,-115,25.05,A,1.6,6.6,31,0.3,40831615,32.76016666666666,-115.4175,2025-01-01T15:53:48.79Z
2025,01,01,15,54,18.42,32,44.76,-115,25.3,A,1.0,3.35,20,0.24,37694068,32.746,-115.42166666666667,2025-01-01T15:54:18.42Z
2025,01,01,16,03,18.01,32,45.45,-115,25.86,A,1.4,11.75,39,0.34,40831631,32.7575,-115.431,2025-01-01T16:03:18.01Z
2025,01,01,16,07,52.97,32,46.09,-115,25.46,A,1.4,7.7,41,0.31,40831639,32.768166666666666,-115.42433333333334,2025-01-01T16:07:52.97Z
2025,01,01,16,40,52.18,32,46.93,-115,26.56,A,1.5,9.56,47,0.28,40831663,32.78216666666667,-115.44266666666667,2025-01-01T16:40:52.18Z
2025,01,01,16,46,33.09,32,46.21,-115,26.22,A,2.0,9.4,64,0.28,40831671,32.77016666666667,-115.437,2025-01-01T16:46:33.09Z
2025,01,01,16,50,41.1,32,46.11,-115,25.96,A,2.8,15.37,84,0.28,40831679,32.7685,-115.43266666666666,2025-01-01T16:50:41.10Z
2025,01,01,17,28,13.82,33,28.95,-115,49.4,A,2.7,8.85,129,0.2,40831687,33.4825,-115.82333333333334,2025-01-01T17:28:13.82Z
2025,01,01,17,35,21.93,32,46.05,-115,26.09,A,2.5,12.88,87,0.31,40831695,32.7675,-115.43483333333333,2025-01-01T17:35:21.93Z
